track_id,track_name,artist_name,album_name,release_date,genre,duration_ms,popularity,danceability,energy,loudness,mode,tempo,stream_count,country,explicit,label
SP0001,Taylor Track 1,Taylor Swift,Taylor Album 4,2018-12-09,Pop,178513,68,0.83,0.81,-3.97,0,155,1822140441,USA,0,Republic Records
SP0002,Taylor Track 2,Taylor Swift,Taylor Album 1,2021-04-17,Pop,267127,72,0.82,0.82,-8.22,1,155,1204819984,USA,0,Republic Records
SP0003,SZA Track 3,SZA,SZA Album 4,2023-05-05,R&B,208236,66,0.54,0.5,-4.37,1,85,3144174160,Australia,0,Top Dawg
SP0004,SZA Track 4,SZA,SZA Album 6,2019-09-10,R&B,271349,72,0.82,0.47,-9.95,1,90,3683561638,Canada,0,Top Dawg
SP0005,SZA Track 5,SZA,SZA Album 6,2022-08-21,R&B,162638,83,0.66,0.81,-5.68,0,157,2737210979,India,0,Top Dawg
SP0006,Travis Track 6,Travis Scott,Travis Album 4,2025-07-09,Hip-Hop,299467,80,0.88,0.86,-9.94,0,120,1732989659,Brazil,0,Epic Records
SP0007,The Track 7,The Weeknd,The Album 8,2023-04-21,R&B,223712,89,0.56,0.52,-5.3,1,154,1850109255,Japan,1,XO
SP0008,The Track 8,The Weeknd,The Album 2,2020-09-16,R&B,132351,67,0.57,0.53,-5.88,0,129,1649042338,Australia,1,XO
SP0009,Metro Track 9,Metro Boomin,Metro Album 2,2018-11-24,Hip-Hop,298706,94,0.84,0.86,-8.94,1,135,689282378,Australia,0,Boominati
SP0010,Kendrick Track 10,Kendrick Lamar,Kendrick Album 5,2020-09-04,Hip-Hop,287496,92,0.77,0.53,-5.14,0,156,1402239675,Australia,0,Interscope
SP0011,Taylor Track 11,Taylor Swift,Taylor Album 1,2023-05-08,Pop,183143,96,0.93,0.5,-7.63,0,148,3299233844,India,0,Republic Records
SP0012,Post Track 12,Post Malone,Post Album 7,2020-05-17,Pop,175521,94,0.84,0.82,-5.58,1,165,2801205006,Germany,1,Republic Records
SP0013,Metro Track 13,Metro Boomin,Metro Album 4,2025-02-08,Hip-Hop,136784,81,0.51,0.74,-6.7,0,89,3050153710,USA,0,Boominati
SP0014,Taylor Track 14,Taylor Swift,Taylor Album 4,2018-06-03,Pop,193001,91,0.6,0.52,-3.58,1,111,3379914783,Australia,1,Republic Records
SP0015,The Track 15,The Weeknd,The Album 7,2019-02-22,R&B,212876,87,0.68,0.91,-11.51,0,87,1739245242,Germany,0,XO
